id,name_zh,type,platform,grid,priority,status,filename,format,prompt_section,notes
CHR-PLAYER-IDLE,主角站立,character,quay,"5,28",P0,new,kanshan-player-idle.png,"PNG 320/1024 + 4-6f",ART_PACK §5,不是刘看山；赤陶斗篷人形旅人
CHR-PLAYER-WALK,主角行走,character,all,—,P0,new,kanshan-player-walk.png,"PNG/GIF 6-8f",ART_PACK §5,至少东南向
CHR-PLAYER-INTERACT,主角交互,character,all,—,P1,new,kanshan-player-interact.png,"PNG 4f",ART_PACK §5,伸手触拱心石
CHR-LIU-IDLE,刘看山站立,character,quay,"4,25",P0,reuse,idle.png / idle.gif,320 GIF,官方资产,禁止重设计
CHR-LIU-GREET,刘看山招呼,character,quay,"4,25",P0,reuse,greet.png / greet.gif,320 GIF,官方资产,对话开场
CHR-LIU-WANDER,刘看山踱步,character,quay,—,P2,reuse,wander.gif,320 GIF,官方资产,
CHR-LIU-SLEEP,刘看山打盹,character,quay,—,P2,reuse,sleep.gif,320 GIF,官方资产,
CHR-LIU-BALL,刘看山玩球,character,quay,—,P2,reuse,ball.gif,320 GIF,官方资产,
CHR-LIU-COMPUTER,刘看山查阅,character,quay,—,P1,reuse,computer.png / computer.gif,320 GIF,官方资产,思考姿态
CHR-LIU-SIT,刘看山西礼拜堂坐姿,character,quay,"4,25",P0,new,kanshan-liu-sit-chapel.png,"PNG 320/1024 + 6f",ART_PACK §5,必须匹配官方三视图
ARCH-QUAY-PLAZA,奶油广场,architecture,quay,3-16x23-31,P0,new,kanshan-quay-plaza.glb,GLB+2K,ART_PACK §6,禁止棋盘格
ARCH-QUAY-BOND-PATH,价键细径,architecture,quay,5;28→4;25→10;26→15;25,P0,new,kanshan-quay-bond-path.glb,GLB,ART_PACK §6,细金线不是金砖
ARCH-QUAY-MEDALLION,碳六边形徽章,architecture,quay,"10,26",P0,new,kanshan-quay-carbon-medallion.glb,GLB,ART_PACK §6,嵌平不挡走
ARCH-QUAY-CHAPEL,西侧礼拜堂,architecture,quay,west of 4;25,P0,new,kanshan-quay-west-chapel.glb,GLB,ART_PACK §6,与后宫必须留天空缝
ARCH-QUAY-PALACE,后宫三拱实验室,architecture,quay,north y=23,P0,new,kanshan-quay-palace.glb,GLB,ART_PACK §6,三拱可辨 禁止连体车库
ARCH-QUAY-NICHE-H,氢壁龛仪轨,architecture,quay,"8,24",P0,new,kanshan-quay-niche-h.glb,"GLB dim/lit",ART_PACK §6,H-1 单核单环
ARCH-QUAY-NICHE-C,碳壁龛仪轨,architecture,quay,"11,24",P0,new,kanshan-quay-niche-c.glb,"GLB dim/lit",ART_PACK §6,C-6 双壳四价
ARCH-QUAY-NICHE-O,氧壁龛仪轨,architecture,quay,"14,24",P0,new,kanshan-quay-niche-o.glb,"GLB dim/lit",ART_PACK §6,O-8 双壳
ARCH-QUAY-GATEHOUSE,东身份门楼,architecture,quay,"15,25",P0,new,kanshan-quay-gatehouse.glb,"GLB 4 socket states",ART_PACK §6,双塔三槽 1-6-8
